,intercept,X1,X2,X3,X4,R square
元大,-1.4627508964071132,1.3409492420136409,0.15506923339873502,-0.21453301749170028,-0.5257335290571834,0.333399206892682
開發金,0.7040622710909954,3.6931063669211515,0.12010228471056283,0.20324036619883268,0.5427596686972201,0.5238883616725295
永豐,0.7669441671498796,1.780132493593746,0.14693205739453907,-0.3857275213414112,-0.9260277441298126,0.7345483858455414
友達,-0.09755852244041324,3.430796963507993,0.15785561346804866,-0.9858778107557797,-1.1080166052909568,0.5130254197952757
華航,3.098978190678123,10.747426160077904,0.5503166806668685,2.0748293924991135,2.083559525707749,0.6019923876150153
華南金,-0.22337748109138178,0.9038783094696188,-0.008484460003836514,-0.5064227884169017,-1.1637043706470696,0.5724019490399148
第一金,0.10617708221538891,0.6791655094404289,-0.011666171676892656,-0.5292637527405863,-1.1425608430566905,0.5724532143597101
中鋼,-0.8258706688437661,2.926781433193623,-0.05133252999535698,-0.5431805067441703,-0.9617910720413458,0.6177545796583928
正新,-0.7496650250169161,0.24278854957492774,-0.22663455113597697,-0.7150566115717609,-1.2161287215892702,0.5832842231366878
聯電,1.3856142209266902,6.49415405131338,-0.07185500639648157,1.0301800560891512,2.05012236799988,0.7168868839904818
台積電,-0.34321724357013794,4.817176123552701,-0.37943464666103077,0.7531032486884259,1.2768731072059707,0.7558187697961852
台灣大,-0.46905495620958504,0.10215334115680381,0.12419380833962695,-0.009506072727458431,-0.2169401329564082,0.22627418353771944
欣興,1.8465250786961063,8.56065876517411,0.011219178487168302,0.31746316180964435,1.3085742954939084,0.7094149471212328
微星,3.729939575839475,6.571890458066243,-0.13874308188000395,1.2599290816979418,2.6817185250963766,0.7158654779964821
創意,-1.506593678511852,1.4550099913671288,-0.3569109243345163,-1.8561636587654982,-2.7016275426354706,0.36753898175867117
新建,-1.0866710793516852,2.1598609715829173,0.10799266578506991,-0.11182410291422953,-0.30904187977292263,0.4567474553459345
大將,2.089236716378741,12.628195103208805,3.1097201629759788,8.820943951156144,6.006923136292388,0.68445269185505
光鋐,-1.2083904115742419,6.485114063281869,-0.19849141302042916,0.5018136679646734,0.8985281520820942,0.9593658034224503
穎漢,-1.6071524831633743,-0.17304960693643162,-0.03736825635599994,0.02884558595767795,-0.12062311424338354,0.1233568949902698
吉源,-1.557158839208806,0.07966886749955858,-0.08223473405545967,-1.217580674224287,-2.117871766369367,0.7765495437851048
川飛,0.3970952216125443,3.417138157768115,-0.14719425488123333,-0.3864504499613795,-1.1718365202554466,0.467913790555319
卓越,-0.14425739542007424,-0.14846520535988175,-0.11335648484038784,-0.05715894088185569,-0.11575201820370601,0.49820466981356437
光隆,-0.4798021836918027,1.2093414882178286,-0.12643038453663377,0.1973656436850328,-0.00313414133955027,0.262243442479854
毛寶,3.4476281136750044,8.421756586973228,-0.0787405095644036,1.1713925037098818,0.4894350585083423,0.26591686818111515
必應,2.416691553249584,4.162128014048758,0.030228888783008723,0.4417423553121401,0.5351127814106855,0.5247966333578001
6641 基士德-KY,-0.39314272170184056,1.3312181247258479,-0.04179939843478063,0.09431053714645017,-0.2691824772578778,0.5333092032239346
8467 波力-KY,1.1666920253796658,-3.159701041237742,-1.0233486052153589,0.5138597477179279,-0.8829137890771867,0.48936482002967463
6426 統新,-6.21837955487319,4.580683326092087,0.28033806440349285,-0.4120283009348039,-3.461351883552616,0.6339777682644671
2250 IKKA-KY,-5.89691157786114,-0.9847925819846538,-0.20149226807932452,-1.069473207085435,-2.02192873283742,0.5465416213033585
6796 晉弘,16.822747615502315,4.117256099880958,-6.136617960573167,1.9047742145801934,3.1662592410718187,1.0
